0.3 15.0
b1 36 16
b2 19 39
b3 41 35
b4 18 47
b5 26 32
b6 35 31
b7 29 13
b8 28 21
b9 32 15
b10 46 34
b11 45 32
b12 14 36
b13 36 42
b14 48 45
b15 15 25
b16 45 46
b17 18 22
b18 33 26
b19 34 19
b20 30 12
b21 28 33
b22 44 39
b23 26 39
b24 40 25
b25 25 15
b26 36 36
b27 43 25
b28 34 15
b29 46 38
b30 12 37
b31 17 27
b32 37 16
b33 23 32
b34 18 36
b35 19 38
b36 15 33
b37 28 12
b38 16 21
b39 33 26
b40 30 42
b41 28 41
b42 16 16
b43 19 44
b44 40 34
b45 27 16
b46 14 37
b47 48 15
b48 23 14
b49 24 26
b50 40 31
b51 33 42
b52 27 48
b53 27 37
b54 17 18
b55 43 16
b56 13 46
b57 22 25
b58 19 48
b59 19 41
b60 46 46
b61 30 35
b62 33 34
b63 37 45
b64 15 35
b65 47 48
b66 30 33
b67 31 31
b68 44 37
b69 35 24
b70 19 38
b71 36 14
b72 42 34
b73 34 33
b74 18 38
b75 29 18
b76 23 27
b77 14 12
b78 24 16
b79 26 43
b80 19 37
b81 14 15
b82 32 20
b83 32 33
b84 19 37
b85 43 37
b86 48 37
b87 24 24
b88 45 19
b89 28 43
b90 12 35
b91 45 24
b92 44 28
b93 42 24
b94 43 21
b95 15 16
b96 36 25
b97 25 45
b98 25 28
b99 16 26
b100 37 20
b101 27 25
b102 40 48
b103 25 38
b104 32 32
b105 36 25
b106 42 31
b107 34 39
b108 45 16
b109 33 12
b110 12 22
b111 44 23
b112 18 13
b113 18 46
b114 43 28
b115 39 19
b116 37 30
b117 37 42
b118 24 37
b119 39 35
b120 24 36
b121 15 45
b122 32 45
b123 43 30
b124 13 35
b125 13 39
b126 18 28
b127 38 28
b128 24 22
b129 36 25
b130 44 46
b131 44 45
b132 36 20
b133 38 16
b134 14 12
b135 29 16
b136 15 37
b137 24 19
b138 22 18
b139 30 22
b140 33 31
b141 12 16
b142 25 34
b143 27 46
b144 46 44
b145 25 29
b146 45 34
b147 33 34
b148 12 31
b149 17 25
b150 22 22
b151 13 30
b152 16 27
b153 33 33
b154 40 12
b155 42 44
b156 12 13
b157 19 42
b158 42 12
b159 28 17
b160 24 36
b161 12 36
b162 19 31
b163 30 12
b164 46 47
b165 32 27
b166 41 33
b167 36 12
b168 47 14
b169 37 25
b170 46 28
b171 22 45
b172 35 34
b173 31 25
b174 42 22
b175 25 20
b176 34 12
b177 20 16
b178 21 31
b179 20 16
b180 45 41
b181 19 21
b182 15 42
b183 33 12
b184 37 16
b185 20 19
b186 13 44
b187 13 48
b188 22 24
b189 24 40
b190 31 20
b191 37 34
b192 42 37
b193 22 28
b194 42 43
b195 42 43
b196 25 36
b197 39 16
b198 47 35
b199 22 40
b200 34 40
