0.1 10.0
b1 27 15
b2 27 16
b3 22 26
b4 21 45
b5 40 45
b6 16 26
b7 38 27
b8 35 29
b9 21 36
b10 44 25
b11 15 31
b12 41 24
b13 17 19
b14 33 48
b15 44 21
b16 34 15
b17 45 42
b18 41 37
b19 43 44
b20 36 23
b21 13 17
b22 28 44
b23 35 29
b24 40 17
b25 18 24
b26 29 43
b27 27 18
b28 38 40
b29 24 12
b30 29 30
b31 20 28
b32 32 36
b33 19 22
b34 45 46
b35 29 12
b36 12 26
b37 27 30
b38 12 29
b39 21 19
b40 12 13
b41 19 47
b42 36 19
b43 46 25
b44 39 21
b45 27 24
b46 24 25
b47 19 13
b48 42 40
b49 28 34
b50 24 48
b51 19 14
b52 14 16
b53 37 18
b54 36 12
b55 30 34
b56 26 31
b57 46 31
b58 47 48
b59 25 25
b60 47 38
b61 39 16
b62 31 45
b63 46 36
b64 36 46
b65 33 15
b66 13 23
b67 42 45
b68 14 33
b69 28 45
b70 36 27
b71 16 45
b72 34 32
b73 32 15
b74 12 46
b75 43 34
b76 20 37
b77 39 36
b78 40 18
b79 42 16
b80 40 25
b81 36 15
b82 15 32
b83 39 24
b84 37 41
b85 34 38
b86 34 43
b87 39 44
b88 45 48
b89 29 44
b90 20 42
b91 46 24
b92 43 21
b93 45 47
b94 20 24
b95 31 19
b96 44 37
b97 46 33
b98 40 15
b99 13 35
b100 40 17
b101 44 45
b102 30 36
b103 40 36
b104 34 34
b105 42 14
b106 35 33
b107 12 33
b108 32 15
b109 37 38
b110 42 46
b111 39 42
b112 13 21
b113 30 25
b114 36 24
b115 34 44
b116 34 22
b117 28 19
b118 39 21
b119 44 38
b120 28 45
b121 36 36
b122 34 38
b123 43 20
b124 23 36
b125 31 35
b126 46 42
b127 22 12
b128 25 43
b129 44 28
b130 34 22
b131 30 26
b132 48 45
b133 18 39
b134 15 43
b135 34 47
b136 45 15
b137 37 12
b138 21 28
b139 42 28
b140 36 37
b141 12 43
b142 19 45
b143 27 37
b144 24 25
b145 15 40
b146 13 45
b147 48 33
b148 30 42
b149 18 20
b150 47 22
b151 23 31
b152 18 42
b153 16 19
b154 41 30
b155 22 17
b156 25 14
b157 28 16
b158 20 25
b159 23 13
b160 44 32
b161 27 16
b162 46 47
b163 31 18
b164 33 22
b165 36 41
b166 21 17
b167 34 36
b168 36 37
b169 24 41
b170 24 39
b171 29 45
b172 22 40
b173 27 13
b174 25 32
b175 43 16
b176 15 16
b177 33 38
b178 41 37
b179 17 19
b180 46 34
b181 19 40
b182 30 28
b183 45 24
b184 33 39
b185 46 25
b186 27 34
b187 31 33
b188 36 38
b189 37 40
b190 44 12
b191 37 27
b192 16 34
b193 29 48
b194 33 17
b195 28 13
b196 33 13
b197 41 41
b198 37 28
b199 48 19
b200 31 36
b201 43 37
b202 26 29
b203 34 39
b204 15 28
b205 41 33
b206 21 15
b207 42 35
b208 33 28
b209 27 20
b210 45 36
b211 13 24
b212 16 12
b213 21 42
b214 32 14
b215 17 27
b216 29 21
b217 42 19
b218 20 48
b219 43 15
b220 28 18
b221 30 37
b222 13 45
b223 34 25
b224 22 19
b225 45 21
b226 47 38
b227 39 16
b228 13 32
b229 21 20
b230 24 48
b231 30 33
b232 16 30
b233 42 23
b234 16 13
b235 33 18
b236 22 46
b237 27 39
b238 21 40
b239 27 39
b240 40 22
b241 23 19
b242 13 24
b243 22 40
b244 37 34
b245 37 13
b246 36 24
b247 23 44
b248 36 39
b249 43 31
b250 35 27
b251 31 34
b252 43 34
b253 19 28
b254 15 13
b255 24 13
b256 47 39
b257 21 13
b258 17 33
b259 44 34
b260 26 12
b261 19 12
b262 12 45
b263 27 48
b264 47 46
b265 45 23
b266 45 15
b267 45 48
b268 34 39
b269 22 25
b270 37 18
b271 23 15
b272 42 24
b273 24 35
b274 21 30
b275 33 21
b276 22 28
b277 31 14
b278 12 47
b279 13 42
b280 39 43
b281 31 22
b282 30 18
b283 44 30
b284 13 15
b285 30 21
b286 13 33
b287 36 41
b288 42 21
b289 28 36
b290 33 37
b291 16 27
b292 28 43
b293 24 39
b294 43 19
b295 17 26
b296 43 13
b297 16 27
b298 38 31
b299 33 40
b300 13 13
